Date,State,City_country,n_killed,n_injured
"January 1, 2014",Virginia,Norfolk,2,2
"January 3, 2014",New York,Queens,1,3
"January 5, 2014",Pennsylvania,Erie,1,3
"January 11, 2014",Mississippi,Jackson,0,4
"January 12, 2014",Alabama,Huntsville,0,5
"January 12, 2014",Illinois,Elgin,0,5
"January 12, 2014",Louisiana,Tallulah,0,6
"January 13, 2014",Michigan,Detroit,0,4
"January 14, 2014",California,Los Angeles,0,4
"January 16, 2014",Utah,Spanish Fork,5,0
"January 16, 2014",Oklahoma,Ardmore,2,5
"January 20, 2014",Virginia,Manassas,0,4
"January 21, 2014",New Jersey,Newark,2,3
"January 25, 2014",Florida,Belle Glade,0,4
"January 25, 2014",Illinois,Chicago,1,4
"January 27, 2014",Washington,Seattle,1,4
"January 27, 2014",North Carolina,Rocky Mount,0,4
"February 3, 2014",Indiana,Franklin,3,2
"February 5, 2014",Illinois,Chicago,1,3
"February 6, 2014",Louisiana,New Orleans,0,4
"February 7, 2014",Florida,Miami,0,5
"February 12, 2014",California,Stockton,1,3
"February 12, 2014",California,Oakland,1,3
"February 12, 2014",Indiana,Gary,0,5
"February 15, 2014",Nevada,Las Vegas,0,5
"February 16, 2014",Florida,Orange County,1,6
"February 16, 2014",Florida,Jacksonville,1,4
"February 16, 2014",Texas,Dallas,1,7
"February 16, 2014",Indiana,Fort Wayne,0,5
"February 16, 2014",Texas,Fort Worth,1,4
"February 20, 2014",California,Alturas,4,2
"February 20, 2014",Indiana,Indianapolis,4,0
"February 22, 2014",California,Wilmington,0,4
"February 25, 2014",Virginia,Glade Spring,5,1
"March 1, 2014",Michigan,Detroit,0,4
"March 1, 2014",Pennsylvania,Pittsburgh,1,4
"March 5, 2014",South Carolina,Pelzer,3,2
"March 8, 2014",Illinois,Chicago,0,6
"March 8, 2014",California,Richmond,1,3
"March 9, 2014",Texas,Austin,0,6
"March 9, 2014",Ohio,Fremont,3,1
"March 14, 2014",New York,Brooklyn,0,4
"March 16, 2014",Georgia,Waynesboro,0,4
"March 16, 2014",Texas,Beaumont,3,1
"March 21, 2014",South Carolina,North Charleston,0,4
"March 23, 2014",California,San Francisco,0,7
"March 23, 2014",California,Long Beach,1,3
"March 23, 2014",Texas,Arlington,1,3
"March 30, 2014",North Carolina,Charlotte,0,5
"March 30, 2014",Mississippi,Starkville,0,5
"April 2, 2014",Texas,Fort Hood,4,16
"April 5, 2014",California,Fairfield,0,4
"April 5, 2014",Arizona,Phoenix,1,3
"April 5, 2014",Illinois,Chicago,1,5
"April 6, 2014",Oklahoma,Oklahoma City,0,4
"April 6, 2014",Massachusetts,Springfield,0,4
"April 7, 2014",Louisiana,New Orleans,0,4
"April 9, 2014",Illinois,Rockford,0,4
